No,제목,학과,과정,년도,href,BERT_SCORE
40,행복하고 평화로웠던 독일에서의 한학기 :),경제학부,학부,2015,/partner/expReport.asp?id=13420&page=1&bgbn=R,1
39,EBS에서의 한학기,경영학과,학부,2016,/partner/expReport.asp?id=13078&page=1&bgbn=R,1
38,재미있었던 엡스!,경영학과,학부,2015,/partner/expReport.asp?id=12676&page=1&bgbn=R,1
37,교환학생보고서,경제학과,학부,2012-2013,/partner/expReport.asp?id=12321&page=1&bgbn=R,0
36,EBS에서의 평화로웠던 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=12065&page=1&bgbn=R,1
35,EBS에서 보낸 한 학기,경영학과,학부,2014,/partner/expReport.asp?id=11995&page=1&bgbn=R,1
34,EBS에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=8659&page=1&bgbn=R,1
33,2014 EBS에서의 교환학생,경제학부,학부,2014,/partner/expReport.asp?id=7205&page=1&bgbn=R,0
32,행복하고 평화로웠던 EBS에서의 1년,경영학과,학부,2013-2014,/partner/expReport.asp?id=7059&page=1&bgbn=R,1
31,EBS 교환학생 경험 보고서,경제학과,학부,2013,/partner/expReport.asp?id=6926&page=1&bgbn=R,0
30,전원마을에서 지내는 대학생,정치외교학과,학부,2013,/partner/expReport.asp?id=6594&page=2&bgbn=R,0
29,최신 EBS 핵심 요점정리,경영학과,학부,2013,/partner/expReport.asp?id=6461&page=2&bgbn=R,1
28,조용한 시골의 삶 ebs :),생활 디자인,학부,2011-2012,/partner/expReport.asp?id=5577&page=2&bgbn=R,1
27,EBS에서의 생활,주거환경,학부,2011,/partner/expReport.asp?id=5337&page=2&bgbn=R,1
26,짧았던 1학기 동안의 EBS,경영학과,학부,2011,/partner/expReport.asp?id=5311&page=2&bgbn=R,1
25,EBS에서의 4개월!,경영학과,학부,2011,/partner/expReport.asp?id=5257&page=2&bgbn=R,0
24,EBS에서의 1년,경영,학부,2010,/partner/expReport.asp?id=5031&page=2&bgbn=R,0
23,독일최고의 명문사립대학에서 한학기,경영학과,학부,2010,/partner/expReport.asp?id=4885&page=2&bgbn=R,1
22,즐거움이 가득했던 EBS에서의 한학기,경제학과,학부,2010,/partner/expReport.asp?id=4857&page=2&bgbn=R,1
21,EBS에서의 행복했던 1년,경제학과,학부,2009-2010,/partner/expReport.asp?id=4554&page=2&bgbn=R,1
20,"후회없는 선택, EBS",의류환경학과,학부,2010,/partner/expReport.asp?id=4282&page=3&bgbn=R,0
19,내 인생 최고의 여유,경영학과,학부,2009,/partner/expReport.asp?id=4234&page=3&bgbn=R,1
18,"포도밭, 자전거, 맥주, 파티, 오리, 조깅, 그 외 소수",경영학과,학부,2009,/partner/expReport.asp?id=3849&page=3&bgbn=R,0
17,인생의 활력소가 될 EBS에서의 기억,경영학과,학부,2009,/partner/expReport.asp?id=3681&page=3&bgbn=R,1
16,EBS 에서의 1년,경제,학부,08-09,/partner/expReport.asp?id=3666&page=3&bgbn=R,0
15,"EBS, 한여름밤의 꿈과 같았던 1년",경영학과,학부,2008-2009,/partner/expReport.asp?id=3619&page=3&bgbn=R,0
14,독일 최고의 사립 경영대학 - EBS,경영학과,학부,2007-2008,/partner/expReport.asp?id=3365&page=3&bgbn=R,1
13,EBS에서의 1년,경영학과,학부,2007,/partner/expReport.asp?id=3006&page=3&bgbn=R,0
12,가질수 없었던 1년을 보낸 독일,정보산업공학과,학부,2007,/partner/expReport.asp?id=2977&page=3&bgbn=R,1
11,"EBS, 그곳에서의 1년",경영학과,학부,2006~2007,/partner/expReport.asp?id=2555&page=3&bgbn=R,0
10,"기대와는 조금다른, 하지만 만족스러운",경영학과,학부,2006,/partner/expReport.asp?id=2494&page=4&bgbn=R,1
9,"잊을 수 없는 그곳, Oestrich-Winkel",문리대학 생명과학과,학부,2005,/partner/expReport.asp?id=2218&page=4&bgbn=R,1
8,독일에서의 한 학기,경영학과,학부,2006,/partner/expReport.asp?id=2193&page=4&bgbn=R,1
7,"시간이 갈수록 그리운 그 곳, EBS",심리학과,학부,2005,/partner/expReport.asp?id=1823&page=4&bgbn=R,1
6,EBS에서의 잊지 못할 1년,경영학과,학부,2004-2005,/partner/expReport.asp?id=1606&page=4&bgbn=R,1
5,The trade-off of EBS,경영대학 경영학과,학부,2005,/partner/expReport.asp?id=1584&page=4&bgbn=R,0
4,낭만과 열정이 넘치는 EBS!,화학공학과,학부,2004,/partner/expReport.asp?id=1555&page=4&bgbn=R,1
3,EBS,경영학전공,학부,2004,/partner/expReport.asp?id=1495&page=4&bgbn=R,0
2,연대생으로 처음 간 EBS,상경계열,학부,2004,/partner/expReport.asp?id=1278&page=4&bgbn=R,1
1,European Business School,상경계열,학부,2004,/partner/expReport.asp?id=1252&page=4&bgbn=R,1
